Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,1,0.0247544,7.46482,0.1303,7.466,2681200425,19,7.466,9,1,2681200425,1
dataset_1,1,7,0.0417355,8.54018,-0.447577,8.552,2681200451,28,8.552,12,12,2681200451,-3
dataset_1,1,9,0.0389287,7.43477,-0.129776,7.436,2681200455,30,7.436,6,14,2681200455,-1
dataset_1,1,12,0.0507024,7.44869,0.13002,7.45,2681200481,39,7.45,9,1,2681200481,1
dataset_1,1,18,0.0718138,8.57193,-0.449252,8.584,2681200506,48,8.584,8,12,2681200506,-3
dataset_1,1,20,0.0648108,7.42659,-0.129636,7.428,2681200511,50,7.428,6,14,2681200511,-1
dataset_1,1,23,0.0767853,7.45647,0.13016,7.458,2681200536,59,7.458,9,1,2681200536,1
dataset_1,1,30,0.101593,8.55965,-0.448624,8.572,2681200561,68,8.572,4,12,2681200561,-3
dataset_1,1,32,0.0906119,7.41632,-0.129462,7.418,2681200566,70,7.418,8,14,2681200566,-1
dataset_1,1,35,0.102647,7.44416,0.129951,7.446,2681200591,79,7.446,9,1,2681200591,1
dataset_1,1,42,0.118496,7.7145,-0.404348,7.726,2681200616,88,7.726,4,12,2681200616,-3
dataset_1,1,44,0.116499,7.41596,-0.129462,7.418,2681200621,90,7.418,8,14,2681200621,-1
dataset_1,1,47,0.127264,7.43978,0.129881,7.442,2681200646,98,7.442,9,1,2681200646,1
dataset_1,1,55,0.141243,7.42353,-0.129602,7.426,2681200676,109,7.426,8,14,2681200676,-1
dataset_1,1,58,0.153109,7.43329,0.129776,7.436,2681200702,118,7.436,9,1,2681200702,1
dataset_1,1,65,0.170118,7.67358,-0.402254,7.686,2681200727,127,7.686,4,12,2681200727,-3
dataset_1,1,69,0.177997,7.44274,0.129951,7.446,2681200757,137,7.446,9,1,2681200757,1
dataset_1,1,76,0.195004,7.65101,-0.401103,7.664,2681200782,146,7.664,8,12,2681200782,-3
dataset_1,1,78,0.191305,7.4044,-0.129287,7.408,2681200787,148,7.408,111,14,2681200787,-1
dataset_1,1,81,0.204086,7.44607,0.13002,7.45,2681200812,157,7.45,9,1,2681200812,1
dataset_1,1,88,0.221999,7.66027,-0.401626,7.674,2681200838,166,7.674,12,12,2681200838,-3
dataset_1,1,90,0.216915,7.39569,-0.129148,7.4,2681200842,168,7.4,109,14,2681200842,-1
dataset_1,1,93,0.231003,7.43328,0.129811,7.438,2681200868,178,7.438,9,1,2681200868,1
dataset_1,1,101,0.251312,7.69733,-0.403615,7.712,2681200893,187,7.712,8,12,2681200893,-3
dataset_1,1,103,0.243822,7.38885,-0.129043,7.394,2681200898,189,7.394,93,14,2681200898,-1
dataset_1,1,106,0.256465,7.41844,0.129567,7.424,2681200923,198,7.424,9,1,2681200923,1
dataset_1,1,113,0.276736,7.65649,-0.401521,7.672,2681200948,207,7.672,12,12,2681200948,-3
dataset_1,1,115,0.269759,7.39195,-0.129113,7.398,2681200953,209,7.398,100,14,2681200953,-1
dataset_1,1,118,0.281442,7.42754,0.129741,7.434,2681200978,217,7.434,9,1,2681200978,1
dataset_1,1,125,0.301731,7.64555,-0.400998,7.662,2681201004,226,7.662,12,12,2681201004,-3
dataset_1,1,127,0.29427,7.39102,-0.129113,7.398,2681201008,228,7.398,60,14,2681201008,-1
dataset_1,1,130,0.307037,7.41852,0.129602,7.426,2681201034,237,7.426,9,1,2681201034,1
dataset_1,1,136,0.439125,10.3052,-0.902411,10.354,2681201054,244,10.354,4,10,2681201054,-5
dataset_1,1,138,0.32876,7.65243,-0.401417,7.67,2681201059,246,7.67,12,12,2681201059,-3
dataset_1,1,140,0.319808,7.38395,-0.129008,7.392,2681201063,248,7.392,104,14,2681201063,-1
dataset_1,1,143,0.33235,7.43344,0.129881,7.442,2681201089,256,7.442,9,1,2681201089,1
dataset_1,1,149,0.493226,10.7376,-0.94041,10.79,2681201110,263,10.79,9,10,2681201110,-5
dataset_1,1,151,0.353119,7.62935,-0.400265,7.648,2681201114,265,7.648,12,12,2681201114,-3
dataset_1,1,153,0.343826,7.37286,-0.128834,7.382,2681201119,267,7.382,100,14,2681201119,-1
dataset_1,1,156,0.357911,7.42425,0.129741,7.434,2681201144,276,7.434,9,1,2681201144,1
dataset_1,1,162,0.531688,10.7557,-0.942154,10.81,2681201165,283,10.81,9,10,2681201165,-5
dataset_1,1,164,0.379649,7.62608,-0.400161,7.646,2681201169,285,7.646,12,12,2681201169,-3
dataset_1,1,166,0.369961,7.37961,-0.128973,7.39,2681201174,287,7.39,113,14,2681201174,-1
dataset_1,1,169,0.38548,7.40484,0.129427,7.416,2681201199,298,7.416,9,1,2681201199,1
dataset_1,1,175,0.570121,10.6999,-0.937447,10.756,2681201220,305,10.756,9,10,2681201220,-5
dataset_1,1,177,0.408179,7.6106,-0.399428,7.632,2681201225,307,7.632,12,12,2681201225,-3
dataset_1,1,179,0.398402,7.38013,-0.129008,7.392,2681201229,309,7.392,100,14,2681201229,-1
dataset_1,1,182,0.41188,7.41344,0.129602,7.426,2681201255,318,7.426,12,1,2681201255,1
dataset_1,1,188,0.598996,10.5486,-0.924374,10.606,2681201275,325,10.606,4,10,2681201275,-5
dataset_1,1,190,0.43554,7.62309,-0.400161,7.646,2681201280,327,7.646,12,12,2681201280,-3
dataset_1,1,192,0.424161,7.37869,-0.129008,7.392,2681201285,329,7.392,50,14,2681201285,-1
dataset_1,1,195,0.435168,7.41211,0.129602,7.426,2681201310,336,7.426,9,1,2681201310,1
dataset_1,1,201,0.632132,10.5467,-0.924374,10.606,2681201331,343,10.606,4,10,2681201331,-5
dataset_1,1,203,0.460208,7.63365,-0.400789,7.658,2681201335,345,7.658,12,12,2681201335,-3
dataset_1,1,205,0.447581,7.38132,-0.129078,7.396,2681201340,347,7.396,119,14,2681201340,-1
dataset_1,1,208,0.461535,7.41852,0.129741,7.434,2681201365,356,7.434,9,1,2681201365,1
dataset_1,1,214,0.678404,10.6936,-0.937447,10.756,2681201386,363,10.756,9,10,2681201386,-5
dataset_1,1,216,0.485961,7.61804,-0.400056,7.644,2681201391,365,7.644,12,12,2681201391,-3
dataset_1,1,218,0.472832,7.37173,-0.128938,7.388,2681201395,367,7.388,114,14,2681201395,-1
dataset_1,1,221,0.487801,7.40282,0.129497,7.42,2681201420,377,7.42,9,1,2681201420,1
dataset_1,1,227,0.716393,10.6731,-0.935878,10.738,2681201441,384,10.738,13,10,2681201441,-5
dataset_1,1,229,0.515493,7.64012,-0.401312,7.668,2681201446,386,7.668,12,12,2681201446,-3
dataset_1,1,231,0.500389,7.37792,-0.129078,7.396,2681201450,388,7.396,102,14,2681201450,-1
dataset_1,1,234,0.514054,7.40705,0.129602,7.426,2681201476,397,7.426,9,1,2681201476,1
dataset_1,1,240,0.756031,10.7043,-0.938842,10.772,2681201497,404,10.772,4,10,2681201497,-5
dataset_1,1,242,0.541169,7.62433,-0.400579,7.654,2681201501,406,7.654,12,12,2681201501,-3
dataset_1,1,244,0.526567,7.38212,-0.129183,7.402,2681201506,408,7.402,100,14,2681201506,-1
dataset_1,1,247,0.537322,7.4054,0.129602,7.426,2681201531,415,7.426,9,1,2681201531,1
dataset_1,1,253,0.766198,10.384,-0.910952,10.452,2681201552,422,10.452,4,10,2681201552,-5
dataset_1,1,255,0.563494,7.60068,-0.399428,7.632,2681201556,424,7.632,12,12,2681201556,-3
dataset_1,1,257,0.549161,7.37245,-0.129043,7.394,2681201561,426,7.394,100,14,2681201561,-1
dataset_1,1,260,0.563775,7.41146,0.129741,7.434,2681201586,435,7.434,12,1,2681201586,1
dataset_1,1,267,0.590795,7.60862,-0.399951,7.642,2681201612,444,7.642,12,12,2681201612,-3
dataset_1,1,269,0.574582,7.3665,-0.128973,7.39,2681201616,446,7.39,68,14,2681201616,-1
dataset_1,1,272,0.590935,7.40934,0.129741,7.434,2681201642,456,7.434,9,1,2681201642,1
dataset_1,1,279,0.618516,7.60442,-0.399847,7.64,2681201667,465,7.64,8,12,2681201667,-3
dataset_1,1,281,0.601089,7.35837,-0.128869,7.384,2681201672,467,7.384,101,14,2681201672,-1
dataset_1,1,284,0.616132,7.39926,0.129602,7.426,2681201697,476,7.426,9,1,2681201697,1
dataset_1,1,290,0.679757,8.04449,-0.70631,8.104,2681201718,483,8.104,4,10,2681201718,-5
dataset_1,1,292,0.648265,7.64002,-0.401835,7.678,2681201722,485,7.678,12,12,2681201722,-3
dataset_1,1,294,0.62711,7.36021,-0.128938,7.388,2681201727,487,7.388,100,14,2681201727,-1
