TP,FP,FN,Precision,Recall,FPR,Accuracy,frame,material,distance
0,3,1,0.0,0.0,1.0,0.0,70,spot,10m
0,3,1,0.0,0.0,1.0,0.0,71,spot,10m
0,3,1,0.0,0.0,1.0,0.0,72,spot,10m
0,3,1,0.0,0.0,1.0,0.0,73,spot,10m
0,3,1,0.0,0.0,1.0,0.0,74,spot,10m
0,3,1,0.0,0.0,1.0,0.0,75,spot,10m
0,3,1,0.0,0.0,1.0,0.0,76,spot,10m
0,3,1,0.0,0.0,1.0,0.0,77,spot,10m
0,3,1,0.0,0.0,1.0,0.0,78,spot,10m
0,3,1,0.0,0.0,1.0,0.0,79,spot,10m
0,3,1,0.0,0.0,1.0,0.0,80,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,81,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,82,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,83,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,84,velvet,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,85,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,86,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,87,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,88,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,89,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,90,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,91,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,92,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,93,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,94,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,95,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,96,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,97,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,98,velvet,10m
0,3,1,0.0,0.0,1.0,0.0,99,velvet,10m
