TP,FP,FN,Precision,Recall,FPR,Accuracy,frame,material,distance
0,2,1,0.0,0.0,1.0,0.0,0,card,10m
0,2,1,0.0,0.0,1.0,0.0,1,card,10m
0,2,1,0.0,0.0,1.0,0.0,2,card,10m
0,2,1,0.0,0.0,1.0,0.0,3,card,10m
0,2,1,0.0,0.0,1.0,0.0,4,card,10m
0,2,1,0.0,0.0,1.0,0.0,5,card,10m
0,2,1,0.0,0.0,1.0,0.0,6,card,10m
0,2,1,0.0,0.0,1.0,0.0,7,card,10m
0,2,1,0.0,0.0,1.0,0.0,8,card,10m
0,2,1,0.0,0.0,1.0,0.0,9,card,10m
0,2,1,0.0,0.0,1.0,0.0,10,card,10m
0,2,1,0.0,0.0,1.0,0.0,11,card,10m
0,2,1,0.0,0.0,1.0,0.0,12,card,10m
0,2,1,0.0,0.0,1.0,0.0,13,card,10m
0,2,1,0.0,0.0,1.0,0.0,14,card,10m
1,1,0,0.5,1.0,0.5,0.5,15,card,10m
0,2,1,0.0,0.0,1.0,0.0,16,card,10m
0,2,1,0.0,0.0,1.0,0.0,17,card,10m
0,2,1,0.0,0.0,1.0,0.0,18,card,10m
0,2,1,0.0,0.0,1.0,0.0,19,card,10m
0,3,1,0.0,0.0,1.0,0.0,20,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,21,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,22,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,23,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,24,mirror,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,25,mirror,10m
0,3,1,0.0,0.0,1.0,0.0,26,mirror,10m
0,3,1,0.0,0.0,1.0,0.0,27,mirror,10m
0,3,1,0.0,0.0,1.0,0.0,28,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,29,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,30,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,31,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,32,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,33,mirror,10m
0,3,1,0.0,0.0,1.0,0.0,34,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,35,mirror,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,36,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,37,mirror,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,38,mirror,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,39,mirror,10m
0,2,1,0.0,0.0,1.0,0.0,40,nothing,10m
0,2,1,0.0,0.0,1.0,0.0,41,nothing,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,42,nothing,10m
0,3,1,0.0,0.0,1.0,0.0,43,nothing,10m
0,2,1,0.0,0.0,1.0,0.0,44,nothing,10m
0,2,1,0.0,0.0,1.0,0.0,45,nothing,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,46,nothing,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,47,nothing,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,48,nothing,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,49,nothing,10m
0,3,1,0.0,0.0,1.0,0.0,50,nothing,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,51,nothing,10m
0,3,1,0.0,0.0,1.0,0.0,52,nothing,10m
0,3,1,0.0,0.0,1.0,0.0,53,nothing,10m
0,3,1,0.0,0.0,1.0,0.0,54,nothing,10m
0,3,1,0.0,0.0,1.0,0.0,55,nothing,10m
0,3,1,0.0,0.0,1.0,0.0,56,nothing,10m
0,3,1,0.0,0.0,1.0,0.0,57,nothing,10m
0,3,1,0.0,0.0,1.0,0.0,58,nothing,10m
1,2,0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,59,nothing,10m
0,4,1,0.0,0.0,1.0,0.0,60,spot,10m
0,3,1,0.0,0.0,1.0,0.0,61,spot,10m
0,3,1,0.0,0.0,1.0,0.0,62,spot,10m
0,3,1,0.0,0.0,1.0,0.0,63,spot,10m
0,3,1,0.0,0.0,1.0,0.0,64,spot,10m
0,3,1,0.0,0.0,1.0,0.0,65,spot,10m
0,3,1,0.0,0.0,1.0,0.0,66,spot,10m
0,3,1,0.0,0.0,1.0,0.0,67,spot,10m
0,3,1,0.0,0.0,1.0,0.0,68,spot,10m
0,3,1,0.0,0.0,1.0,0.0,69,spot,10m
